,subject_id,llm_score_baseline,llm_score_with_dli,llm_label_baseline,llm_label_with_dli,mean_score,diff_score
0,S02,0.1,0.5,Stagnant,Moderate,0.3,0.4
1,S03,0.1,0.51,Stagnant,Moderate,0.305,0.41000000000000003
2,S04,0.3,0.3,Stagnant,Stagnant,0.3,0.0
3,S05,0.0,0.3,Stagnant,Stagnant,0.15,0.3
4,S06,0.0,0.3,Stagnant,Stagnant,0.15,0.3
5,S07,0.4,0.3,Moderate,Stagnant,0.35,-0.10000000000000003
6,S08,0.1,0.4,Stagnant,Moderate,0.25,0.30000000000000004
7,S09,0.2,0.5,Stagnant,Moderate,0.35,0.3
8,S10,0.1,0.3,Stagnant,Stagnant,0.2,0.19999999999999998
9,S11,0.1,0.4,Stagnant,Moderate,0.25,0.30000000000000004
10,S12,0.3,0.3,Stagnant,Stagnant,0.3,0.0
11,S13,0.1,0.52,Stagnant,Moderate,0.31,0.42000000000000004
12,S14,0.1,0.4,Stagnant,Moderate,0.25,0.30000000000000004
13,S15,0.4,0.6,Moderate,Improving,0.5,0.19999999999999996
14,S16,0.1,0.4,Stagnant,Moderate,0.25,0.30000000000000004
15,S17,0.3,0.6,Stagnant,Improving,0.44999999999999996,0.3
16,S18,0.6,0.3,Improving,Stagnant,0.44999999999999996,-0.3
17,S19,0.3,0.38,Stagnant,Stagnant,0.33999999999999997,0.08000000000000002
18,S1,0.4,0.4,Moderate,Moderate,0.4,0.0
19,S20,0.6,0.4,Improving,Moderate,0.5,-0.19999999999999996
20,S21,0.1,0.4,Stagnant,Moderate,0.25,0.30000000000000004
21,S22,0.2,0.3,Stagnant,Stagnant,0.25,0.09999999999999998
22,S23,0.3,0.6,Stagnant,Improving,0.44999999999999996,0.3
23,S24,0.5,0.4,Moderate,Moderate,0.45,-0.09999999999999998
24,S25,0.3,0.5,Stagnant,Moderate,0.4,0.2
25,S26,0.1,0.4,Stagnant,Moderate,0.25,0.30000000000000004
26,S27,0.4,0.54,Moderate,Moderate,0.47000000000000003,0.14
27,S28,0.2,0.4,Stagnant,Moderate,0.30000000000000004,0.2
28,S29,0.6,0.4,Improving,Moderate,0.5,-0.19999999999999996
29,S30,0.2,0.5,Stagnant,Moderate,0.35,0.3
30,S31,0.3,0.5,Stagnant,Moderate,0.4,0.2
31,S32,0.6,0.46,Improving,Moderate,0.53,-0.13999999999999996
32,S33,0.3,0.52,Stagnant,Moderate,0.41000000000000003,0.22000000000000003
33,S34,0.3,0.3,Stagnant,Stagnant,0.3,0.0
34,S35,0.3,0.5,Stagnant,Moderate,0.4,0.2
35,S36,0.4,0.45,Moderate,Moderate,0.42500000000000004,0.04999999999999999
36,S37,0.3,0.3,Stagnant,Stagnant,0.3,0.0
37,S38,0.3,0.4,Stagnant,Moderate,0.35,0.10000000000000003
38,S39,0.4,0.36,Moderate,Stagnant,0.38,-0.040000000000000036
39,S40,0.4,0.37,Moderate,Stagnant,0.385,-0.030000000000000027
40,S41,0.3,0.5,Stagnant,Moderate,0.4,0.2
41,S42,0.4,0.5,Moderate,Moderate,0.45,0.09999999999999998
42,S43,0.4,0.61,Moderate,Improving,0.505,0.20999999999999996
43,S44,0.2,0.46,Stagnant,Moderate,0.33,0.26
44,S45,0.4,0.5,Moderate,Moderate,0.45,0.09999999999999998
45,S46,0.4,0.4,Moderate,Moderate,0.4,0.0
46,S47,0.3,0.37,Stagnant,Stagnant,0.33499999999999996,0.07
47,S48,0.4,0.42,Moderate,Moderate,0.41000000000000003,0.019999999999999962
48,S49,0.5,0.32,Moderate,Stagnant,0.41000000000000003,-0.18
49,S50,0.4,0.5,Moderate,Moderate,0.45,0.09999999999999998
50,S51,0.7,0.43,Improving,Moderate,0.565,-0.26999999999999996
51,S52,0.5,0.25,Moderate,Stagnant,0.375,-0.25
52,S53,0.1,0.5,Stagnant,Moderate,0.3,0.4
53,S54,0.4,0.4,Moderate,Moderate,0.4,0.0
54,S55,0.3,0.62,Stagnant,Improving,0.45999999999999996,0.32
55,S56,0.3,0.46,Stagnant,Moderate,0.38,0.16000000000000003
56,S57,0.3,0.5,Stagnant,Moderate,0.4,0.2
