subject,learning_index
S30,0.02275485166332178
S09,0.021113566062473627
S55,0.017284081517753746
S53,0.01658718040300931
S51,0.01579268912231564
S22,0.012509276959803193
S23,0.010087088828808388
S35,0.008499738170688316
S13,0.008177113932158264
S02,0.00784961949991614
S26,0.007841459635112966
S10,0.00770771564407782
S54,0.007640092189710839
S03,0.006457907125934381
S43,0.004712629116567455
S50,0.002839135919186406
S21,0.0014855551811588262
S33,0.001394766389875484
S17,0.0006792653870201655
S57,-3.723136632514236e-05
S25,-0.0008169673110141372
S44,-0.001339370662108401
S31,-0.0015055754635118902
S36,-0.0021337653685333134
S06,-0.00235621950456074
S48,-0.0024687644122238445
S27,-0.00281185682414842
S16,-0.0031323270839557324
S19,-0.00353941346581717
S56,-0.003562330297733608
S52,-0.004097469971704304
S20,-0.004810158617066262
S40,-0.005059102065581129
S15,-0.006631129981356475
S39,-0.007183799203625298
S14,-0.007959958352507606
S01,-0.008046950246872643
S07,-0.009240793756076268
S34,-0.009291669477085424
S18,-0.009427563385351707
S38,-0.010042162550459232
S49,-0.010117560681095697
S45,-0.010227455557288984
S24,-0.01066785390607845
S42,-0.010690160426206158
S47,-0.011172358232333254
S08,-0.011391465965803564
S37,-0.011772073177914873
S29,-0.012012355309679996
S12,-0.012241519162697456
S41,-0.012507020213634224
S04,-0.01567245556831122
S11,-0.016542053274941022
S32,-0.016769499029207952
S46,-0.018272950124919866
S28,-0.021178868595968216
S05,-0.021560998531905087
